年月日,曜日,平均気温(℃),最高気温(℃),最低気温(℃),エリア
2024年11月13日,水,16.5,20.8,12.6,東京
2024年11月14日,木,15.8,18.2,11.9,東京
2024年11月15日,金,15.9,17.7,13.8,東京
2024年11月16日,土,16.7,18.9,14.3,東京
2024年11月17日,日,18.9,23.8,15.1,東京
2024年11月18日,月,13.7,18.9,10.1,東京
2024年11月19日,火,9.7,13.2,7.3,東京
2024年11月20日,水,7.6,8.8,5.5,東京
2024年11月21日,木,10.5,13.6,8.5,東京
2024年11月22日,金,11.9,18,7.1,東京
2024年11月23日,土,12,16,8.4,東京
2024年11月24日,日,10.7,14.8,7.4,東京
2024年11月25日,月,9.9,14.6,5.8,東京
2024年11月26日,火,10,14.5,5.6,東京
2024年11月27日,水,14.5,20.1,9.3,東京
2024年11月28日,木,13.2,18.3,9.4,東京
2024年11月29日,金,11.4,16.5,7.9,東京
2024年11月30日,土,10.4,16.7,5.7,東京
2024年12月1日,日,11.2,16.6,6.7,東京
2024年12月2日,月,11.4,16.8,7.6,東京
2024年12月3日,火,11.9,17.5,7.4,東京
2024年12月4日,水,12.7,17.8,8.4,東京
2024年12月5日,木,11.5,15.5,8.9,東京
2024年12月6日,金,11,16.7,5.2,東京
2024年12月7日,土,8.9,12.4,5.9,東京
2024年12月8日,日,7.7,14.2,4.2,東京
2024年12月9日,月,7.7,13,2.5,東京
2024年12月10日,火,8.5,13.8,4.4,東京
2024年12月11日,水,8.7,13.5,5.4,東京
2024年12月12日,木,7.1,10.8,4.3,東京
2024年12月13日,金,5.3,8.4,1.2,東京
2024年12月14日,土,7.2,12.3,3.5,東京
2024年12月15日,日,6.6,12.2,0.8,東京
2024年12月16日,月,7.7,12.7,3.3,東京
2024年12月17日,火,8,13.8,2.7,東京
2024年12月18日,水,7.6,13.2,2.8,東京
2024年12月19日,木,5.2,8.3,2.5,東京
2024年12月20日,金,6.5,11.6,1.1,東京
2024年12月21日,土,9.4,16.5,2.8,東京
2024年12月22日,日,6.9,11.6,2.6,東京
2024年12月23日,月,6.1,11.1,2.4,東京
2024年12月24日,火,6.7,12.2,1.8,東京
2024年12月25日,水,7.7,11.3,4.5,東京
2024年12月26日,木,8.9,14.7,3.4,東京
2024年12月27日,金,7.4,12.7,3.8,東京
2024年12月28日,土,5.4,11.5,1.4,東京
2024年12月29日,日,6,12.3,0.5,東京
2024年12月30日,月,6.2,10.3,3.5,東京
2024年12月31日,火,8,14.6,2.8,東京
2025年1月1日,水,7.1,12.2,4.1,東京
2025年1月2日,木,7.8,13.9,2.1,東京
2025年1月3日,金,5.5,7.6,3.7,東京
2025年1月4日,土,5.1,9.6,1.6,東京
2025年1月5日,日,4.6,10,-0.2,東京
2025年1月6日,月,4.5,8.1,1.5,東京
2025年1月7日,火,8.1,12.9,3.6,東京
2025年1月8日,水,6.6,12.3,2.7,東京
2025年1月9日,木,6.7,12.7,2.3,東京
2025年1月10日,金,4.6,9.4,0.1,東京
2025年1月11日,土,5.3,11.3,0.2,東京
2025年1月12日,日,5.4,9,2.6,東京
2025年1月13日,月,6.9,13.4,1.1,東京
2025年1月14日,火,6.4,12.8,1.2,東京
2025年1月15日,水,7.6,15.6,2.7,東京
2025年1月16日,木,4.6,7.7,2.6,東京
2025年1月17日,金,4.9,9.7,1,東京
2025年1月18日,土,4.6,9.7,0.8,東京
2025年1月19日,日,5.9,9.2,1.6,東京
2025年1月20日,月,9.2,13.9,5,東京
2025年1月21日,火,9.4,13.8,7.1,東京
2025年1月22日,水,8.2,13.4,4.1,東京
2025年1月23日,木,8.5,13.9,4.8,東京
2025年1月24日,金,9.2,14.6,4.4,東京
2025年1月25日,土,6.8,9.2,4.4,東京
2025年1月26日,日,7,12.5,3.2,東京
2025年1月27日,月,6.4,10.2,2.3,東京
2025年1月28日,火,8.4,13.6,4.6,東京
2025年1月29日,水,7,12.8,2.6,東京
2025年1月30日,木,6.5,12.2,1.2,東京
2025年1月31日,金,7.1,13.2,2.2,東京
2025年2月1日,土,7.5,12.2,2.8,東京
2025年2月2日,日,4.6,8.8,3.1,東京
2025年2月3日,月,6.1,9.6,4,東京
2025年2月4日,火,6,11.2,2.3,東京
2025年2月5日,水,4.1,9,-0.1,東京
2025年2月6日,木,4,9.2,-0.6,東京
2025年2月7日,金,4.9,10.6,-0.6,東京
2025年2月8日,土,4.6,9.7,0.3,東京
2025年2月9日,日,5.2,11.5,0.7,東京
2025年2月10日,月,5.5,11.4,-0.5,東京
2025年2月11日,火,5.1,10.5,0.3,東京
2025年2月12日,水,7.2,12.7,0.4,東京
2025年2月13日,木,7.4,13.1,3.4,東京
2025年2月14日,金,7.9,14.5,2.4,東京
2025年2月15日,土,9.6,14,5.2,東京
2025年2月16日,日,11.3,16.9,7.5,東京
2025年2月17日,月,9.3,15.5,3.9,東京
2025年2月18日,火,5,9.7,1.9,東京
2025年2月19日,水,3.9,8.9,0.4,東京
2025年2月20日,木,4.5,10.6,-1,東京
2025年2月21日,金,5.4,10.9,1,東京
2025年2月22日,土,4.4,9.4,1.4,東京
2025年2月23日,日,5.2,11.1,-0.4,東京
2025年2月24日,月,4.8,10.8,-0.1,東京
2025年2月25日,火,7.1,12.7,0.5,東京
2025年2月26日,水,10.4,17.6,4,東京
2025年2月27日,木,10.2,16.5,4.2,東京
2025年2月28日,金,11,16.6,5.4,東京
2025年3月1日,土,13.3,19.7,6.5,東京
2025年3月2日,日,14.6,22.1,7.9,東京
2025年3月3日,月,5.9,14.4,1.6,東京
2025年3月4日,火,2.4,5.4,0.4,東京
2025年3月5日,水,5.3,8.4,0.8,東京
2025年3月6日,木,9.1,11.7,6.6,東京
2025年3月7日,金,6.9,12.2,3.2,東京
2025年3月8日,土,3.2,6.8,0.5,東京
2025年3月9日,日,6.9,13.5,1.5,東京
2025年3月10日,月,9.1,14.9,3.2,東京
2025年3月11日,火,10.3,13.8,6.3,東京
2025年3月12日,水,11.6,14.7,8.8,東京
2025年3月13日,木,14.5,20.4,9.1,東京
2025年3月14日,金,12.8,19.6,8.5,東京
2025年3月15日,土,8.9,12,6.7,東京
2025年3月16日,日,6.4,7.8,4.8,東京
2025年3月17日,月,10,16.2,6.6,東京
2025年3月18日,火,8.6,12.9,4.6,東京
2025年3月19日,水,5.6,10.7,0.5,東京
2025年3月20日,木,8.3,13.7,4.3,東京
2025年3月21日,金,11.2,17.4,3.9,東京
2025年3月22日,土,15.8,23.6,6.9,東京
2025年3月23日,日,17.3,25.6,11.4,東京
2025年3月24日,月,14.8,19.2,10,東京
2025年3月25日,火,17.8,25,10.1,東京
2025年3月26日,水,20.4,25.9,14.9,東京
2025年3月27日,木,17.9,22.4,12.2,東京
2025年3月28日,金,19.9,25.7,14.1,東京
2025年3月29日,土,7.6,14.3,4.3,東京
2025年3月30日,日,9.4,15.6,5.1,東京
2025年3月31日,月,7,8.9,5.5,東京
2025年4月1日,火,5.1,5.8,4.1,東京
2025年4月2日,水,9.5,13.7,5.7,東京
2025年4月3日,木,8.4,9.8,6,東京
2025年4月4日,金,11.4,18.4,5.3,東京
2025年4月5日,土,12,17,6.1,東京
2025年4月6日,日,15.1,20.1,10.6,東京
2025年4月7日,月,14.3,19.7,10.5,東京
2025年4月8日,火,15,20.2,7.9,東京
2025年4月9日,水,16.3,23.8,11,東京
2025年4月10日,木,16.5,22.8,12,東京
2025年4月11日,金,15.5,20,12.9,東京
2025年4月12日,土,15.3,20.5,11.2,東京
2025年4月13日,日,13.1,14.1,11.9,東京
2025年4月14日,月,16.9,23,13.4,東京
2025年4月15日,火,16.2,22,11.1,東京
2025年4月16日,水,14.8,21.1,7.7,東京
2025年4月17日,木,17.8,25.2,10,東京
2025年4月18日,金,19.2,24.9,13.8,東京
2025年4月19日,土,20.8,27.8,15.7,東京
2025年4月20日,日,20.5,23.7,17.9,東京
2025年4月21日,月,18.5,25.1,13.1,東京
2025年4月22日,火,18,23.2,12.7,東京
2025年4月23日,水,17.2,19.7,14.1,東京
2025年4月24日,木,19.4,24.3,16.6,東京
2025年4月25日,金,18.7,22.8,16.7,東京
2025年4月26日,土,14.5,19.2,10.5,東京
2025年4月27日,日,17,23.2,9.6,東京
2025年4月28日,月,17.4,23.5,13.3,東京
2025年4月29日,火,17.1,23.1,12.7,東京
2025年4月30日,水,17.4,24.2,11.1,東京
2025年5月1日,木,18.2,23.8,12.9,東京
2025年5月2日,金,16.2,18.7,14,東京
2025年5月3日,土,18.2,24.6,13.6,東京
2025年5月4日,日,18.5,25.9,13.7,東京
2025年5月5日,月,17.7,23.9,11.6,東京
2025年5月6日,火,14.8,18.1,12.9,東京
2025年5月7日,水,17.9,23,12.9,東京
2025年5月8日,木,18,22.7,14.3,東京
2025年5月9日,金,18.1,23.2,14.6,東京
2025年5月10日,土,18.8,21.9,15.5,東京
2025年5月11日,日,20.5,26.7,15.6,東京
2025年5月12日,月,16.8,20.3,15.3,東京
2025年5月13日,火,19.8,25.6,15.2,東京
2025年5月14日,水,20.6,26.3,15.8,東京
2025年5月15日,木,21.1,26.8,16.6,東京
2025年5月16日,金,21.4,25.4,17.5,東京
2025年5月17日,土,21.3,24.1,18.8,東京
2025年5月18日,日,24.2,27.1,21.9,東京
2025年5月19日,月,19.2,22.8,17.3,東京
2025年5月20日,火,23.9,31.1,16.1,東京
2025年5月21日,水,24.7,29.7,19.8,東京
2025年5月22日,木,23,27.9,16.9,東京
2025年5月23日,金,18.9,23.6,16.6,東京
2025年5月24日,土,17.7,20.9,15.2,東京
2025年5月25日,日,17.7,20.8,14.6,東京
2025年5月26日,月,19.1,22.7,16.8,東京
2025年5月27日,火,17.9,20.3,15.5,東京
2025年5月28日,水,19.5,25.1,15.8,東京
2025年5月29日,木,19.5,24.1,15.5,東京
2025年5月30日,金,15.1,16.5,13.9,東京
2025年5月31日,土,15.9,17.1,14.5,東京
2025年6月1日,日,18.6,24.8,15,東京
2025年6月2日,月,20.1,25,15.1,東京
2025年6月3日,火,18.9,21.2,17.7,東京
2025年6月4日,水,22.3,28.4,16.7,東京
2025年6月5日,木,22.8,28.9,17,東京
2025年6月6日,金,23.4,28.8,18.4,東京
2025年6月7日,土,23.6,29.6,20.1,東京
2025年6月8日,日,23.2,28.6,19.7,東京
2025年6月9日,月,21.9,25.9,19.3,東京
2025年6月10日,火,20.4,21.6,19.2,東京
2025年6月11日,水,20.8,23.1,19.7,東京
2025年6月12日,木,22.9,27.8,19.1,東京
2025年6月13日,金,22.5,26.4,19.4,東京
2025年6月14日,土,22.3,25.6,20.8,東京
2025年6月15日,日,24.9,29.2,21.7,東京
2025年6月16日,月,26.5,31.6,23.2,東京
2025年6月17日,火,29,34.8,23.6,東京
2025年6月18日,水,28.8,34.4,24.4,東京
2025年6月19日,木,27.8,33.5,23.9,東京
2025年6月20日,金,26.5,31.4,23.3,東京
2025年6月21日,土,26.5,31.4,22.5,東京
2025年6月22日,日,28.2,33.1,24.1,東京
2025年6月23日,月,27.9,31.9,25.6,東京
2025年6月24日,火,26.9,29.2,24.9,東京
2025年6月25日,水,26.2,29.4,24.5,東京
2025年6月26日,木,27.1,32.9,23.8,東京
2025年6月27日,金,27.1,32.2,23.5,東京
2025年6月28日,土,28.2,33.8,23.6,東京
2025年6月29日,日,27.6,32.6,23,東京
2025年6月30日,月,28.3,33.2,23.9,東京
2025年7月1日,火,28.2,33.5,25.3,東京
2025年7月2日,水,28,33,25.1,東京
2025年7月3日,木,28.5,33.4,25.4,東京
2025年7月4日,金,28.3,33.4,25.3,東京
2025年7月5日,土,29,34.4,24.7,東京
2025年7月6日,日,29.7,34.9,26.3,東京
2025年7月7日,月,30,35.6,26.7,東京
2025年7月8日,火,30.3,35.8,26.4,東京
2025年7月9日,水,29.9,34.7,27.1,東京
2025年7月10日,木,28.3,35.7,22.3,東京
2025年7月11日,金,23.2,25.1,21.6,東京
2025年7月12日,土,23.6,26.6,20.7,東京
2025年7月13日,日,26.8,32.3,22.2,東京
2025年7月14日,月,26.9,29.9,24.9,東京
2025年7月15日,火,26.9,30.6,25.2,東京
2025年7月16日,水,26.3,27.8,24.4,東京
2025年7月17日,木,27.3,31.5,23.8,東京
2025年7月18日,金,27.7,32.1,24.8,東京
2025年7月19日,土,28.3,33.1,24.3,東京
2025年7月20日,日,28.7,32.9,25.2,東京
2025年7月21日,月,29.7,34.3,25.7,東京
